Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Rafer Alston,30.3,HOU,Point,308,100,-39.8,99,-8.0,70,-1.8%,95,-49.6,35,+0.8,75,-9.6%,4,+115.8,100,-8.6,68,-3.0%,100,-126.2
Carmelo Anthony,22.4,DEN,Wing,209,15,+10.2,4,+4.6,1,+7.7%,0,+112.2,19,+1.4,9,+23.3%,4,+122.2,5,+2.5,1,+19.0%,1,+96.4
Leandro Barbosa,23.9,PHX,Combo,344,44,+2.2,40,+0.4,80,-2.6%,49,-0.2,41,+0.4,68,-5.5%,39,+18.2,55,-0.4,91,-8.6%,67,-20.4
Andrea Bargnani,21.0,TOR,Big,174,20,+7.9,32,+1.3,28,+2.0%,50,-0.2,7,+2.9,42,+2.9%,13,+56.7,68,-1.6,46,+0.8%,68,-21.3
Matt Barnes,26.6,GSW,Forward,328,22,+7.7,37,+0.9,84,-2.9%,32,+9.7,29,+0.9,36,+4.4%,29,+32.4,44,+0.3,79,-4.9%,38,+4.5
Brent Barry,34.8,SAS,Wing,209,45,+2.1,60,-1.0,32,+1.8%,72,-18.6,63,-0.5,39,+3.8%,75,-22.6,53,-0.2,39,+2.1%,61,-13.0
Shane Battier,28.1,HOU,Forward,271,59,-2.5,41,+0.4,9,+4.2%,5,+45.6,82,-1.6,76,-10.0%,88,-44.4,32,+0.9,4,+12.4%,2,+92.9
Raja Bell,30.1,PHX,Wing,437,46,+1.6,6,+4.4,89,-3.5%,7,+41.7,18,+1.5,98,-29.0%,23,+40.0,2,+4.0,54,-0.2%,3,+61.4
Andris Biedrins,20.6,GSW,Big,264,73,-6.3,75,-2.7,55,-0.5%,85,-31.3,58,-0.4,69,-6.3%,56,-4.6,74,-1.9,70,-3.1%,83,-41.4
Chauncey Billups,30.1,DET,Point,647,95,-19.9,82,-3.3,87,-3.2%,78,-24.4,86,-1.8,70,-8.1%,82,-33.8,78,-2.5,75,-3.7%,78,-34.7
