player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Jeff Adrien,GSW,24.7,Big,159,49,57,25,67,65,95,73,0,8,17,90,38,6,42,46,53,81,82,81,59,28,76,65,71,94,3,8,65,83,23,50,5,0,65,11,98,9,88,16,48,30,65,4,15,2,94,96,99,65,7,83,5,24,59,3,14,78,25,82,85,1,21,14,35,6,73,75,26,47,22,88,66,53,25,43,29,81,61,69,82,97,15,95,99,54,90,68,4,68,6,7,13,20,6,0,0,0,74,69,24,31,0,0,0,7,0,13,13,2,0
Arron Afflalo,DEN,25.0,Wing,2270,67,5,65,41,29,0,55,77,57,32,26,22,97,65,83,71,68,67,61,96,6,38,60,47,23,78,74,60,37,72,53,78,93,25,51,22,30,18,87,28,56,85,17,30,13,74,40,53,60,66,52,66,84,26,75,43,21,46,67,73,6,44,12,24,20,38,98,78,97,38,44,44,63,67,58,63,71,15,30,67,88,66,89,56,69,56,94,58,92,98,63,98,69,95,78,76,95,60,59,31,36,89,36,61,93,95,32,51,45,4
Alexis Ajinca,TOR,22.5,Big,240,72,58,0,8,43,0,51,0,19,35,15,73,45,32,20,40,88,55,84,10,16,86,95,100,5,89,0,95,97,87,14,98,75,98,98,97,87,97,31,98,93,60,67,49,61,10,51,30,95,8,14,16,2,24,3,48,5,52,55,66,15,94,93,84,89,22,100,22,85,100,66,93,86,6,13,2,56,89,84,55,22,92,14,4,23,5,59,96,35,57,92,98,52,66,0,32,43,17,4,85,51,0,95,93,66,43,23,84,13,70
Cole Aldrich,OKC,22.0,Big,101,74,78,2,72,29,0,35,0,0,2,99,1,28,24,92,1,73,70,98,5,20,3,63,98,1,64,7,63,53,62,0,61,89,17,6,99,12,96,100,100,100,0,22,99,94,85,95,96,63,84,0,96,2,1,21,100,0,100,70,35,42,1,63,11,98,84,56,4,7,93,99,99,2,89,2,16,99,98,99,70,99,3,100,34,2,99,100,22,100,44,100,1,0,0,0,0,0,68,92,0,39,0,0,0,48,0,94,84,0,0
LaMarcus Aldridge,POR,25.3,Big,3202,50,63,95,62,30,30,41,84,47,91,55,94,56,80,54,93,99,96,90,92,37,85,97,77,71,65,98,97,82,70,94,84,71,81,67,22,76,51,35,51,44,95,5,3,0,80,88,90,97,98,93,96,98,90,96,86,69,81,96,90,32,53,62,38,82,97,12,94,72,59,77,73,57,98,26,77,5,37,20,96,90,69,93,95,67,89,72,44,81,47,72,55,78,68,0,0,0,33,83,64,76,78,75,73,55,11,84,56,88,95
Malik Allen,ORL,32.3,Big,159,35,1,10,13,7,0,0,0,0,21,99,5,0,23,66,89,0,1,0,69,46,1,1,1,51,61,28,1,6,18,5,0,2,1,23,89,5,20,99,0,3,6,89,12,45,95,94,97,1,20,2,26,64,12,83,11,12,10,1,2,20,4,79,59,80,73,6,0,0,24,28,21,1,58,99,99,1,71,36,1,15,0,2,92,8,76,3,1,0,0,97,1,17,4,0,0,0,2,59,98,100,0,0,0,0,0,48,97,2,0
Ray Allen,BOS,35.3,Wing,2883,29,43,90,40,21,59,25,92,21,73,81,59,98,74,63,62,94,97,97,95,33,53,32,17,57,84,58,32,28,72,62,48,50,44,45,37,59,46,44,11,15,23,88,82,93,16,19,13,32,26,60,15,56,36,53,21,67,13,97,98,18,57,30,26,44,64,81,75,84,90,98,99,77,15,62,33,65,34,42,97,94,69,93,52,15,40,98,74,98,97,64,84,94,94,92,86,98,27,47,65,58,74,51,62,87,98,31,38,31,49
Tony Allen,MEM,28.8,Combo,1474,98,100,8,96,53,0,96,22,94,20,45,24,88,6,6,61,71,43,41,33,63,88,85,66,98,33,61,85,95,48,69,43,54,35,43,46,62,53,59,74,68,46,61,17,26,11,95,79,85,29,59,20,55,27,59,19,57,15,43,18,40,98,72,59,72,47,33,28,24,21,11,9,99,41,19,18,21,13,12,43,94,97,81,97,66,69,79,70,66,92,82,29,16,16,0,0,2,100,73,6,16,10,2,2,98,2,16,6,20,2
Al-Farouq Aminu,LAC,20.1,Wing,1391,80,83,53,94,88,94,19,46,76,36,54,44,21,22,17,1,23,12,13,3,83,40,58,35,77,43,92,58,35,48,55,81,54,92,38,85,79,91,24,10,7,73,98,10,65,8,28,14,58,85,26,82,63,12,67,92,46,89,12,7,80,86,84,79,70,12,49,10,17,35,34,30,73,58,44,51,21,42,33,12,22,89,17,25,97,9,35,71,34,12,22,58,4,7,2,38,15,88,44,14,17,60,45,47,26,15,69,86,45,36
Lou Amundson,GSW,27.9,Big,664,71,40,41,88,20,0,40,2,73,68,53,37,14,22,24,86,24,16,4,45,94,87,52,77,55,29,49,52,62,21,8,98,28,99,67,24,99,93,7,76,37,66,19,81,59,43,23,25,52,5,7,18,54,52,38,2,5,11,16,12,88,75,90,98,34,7,27,21,16,5,21,7,85,63,38,50,28,21,21,16,14,16,18,11,11,39,22,17,21,22,10,19,45,19,0,0,0,85,37,28,17,0,0,0,23,0,81,81,37,0
