player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Shareef Abdur-Rahim,POR,27.9,Forward,1856,46,37,80,76,74,24,70,92,0,0,0,70,89,54,48,41,36,80,66,75,52,78,7,11,15,62,49,12,75,44,48,70,26,39,7,20,7,25,54,36,45,78,46,67,80,18,38,5,26,4,16,18,25,6,30,4,83,75,19,45,36,64,85,64,72,77,45,25,26,44,54,72,71,51,27,34,52,20,68,76,47,89,38,26,49,80,74,76,93,83,0,32,59,83,93,39,67,22,28,22,89,59,65,35,50,11
Cory Alexander,CHA,31.4,Point,169,63,85,2,87,93,98,0,0,0,0,0,35,28,70,85,0,8,27,12,25,88,66,3,57,2,45,8,8,10,43,68,92,21,60,6,76,30,92,28,69,93,84,8,20,1,63,20,86,27,78,78,23,60,78,73,80,15,63,27,93,89,80,40,4,8,2,40,37,33,17,35,22,18,95,92,95,7,2,6,23,15,38,6,1,3,28,9,0,6,2,0,0,95,44,13,37,20,30,89,80,4,95,22,54,100,2
Malik Allen,CHA,26.3,Big,238,60,25,82,7,16,99,51,0,0,0,0,65,32,28,18,100,7,71,24,89,51,76,0,3,70,0,25,3,4,53,1,1,4,96,68,0,3,1,8,1,71,66,26,37,10,59,36,72,71,96,43,49,71,71,41,94,87,55,2,16,75,2,95,43,6,8,54,56,57,0,63,98,98,25,74,62,18,2,47,0,1,1,89,16,94,63,99,90,82,87,0,0,0,2,27,99,99,0,0,0,63,0,43,96,34,0
Malik Allen,MIA,26.3,Big,243,68,28,51,82,10,53,2,0,0,0,0,68,26,61,48,91,29,52,36,80,20,56,17,4,63,94,54,5,82,98,14,57,4,11,23,44,24,6,42,8,91,92,15,57,0,47,4,93,98,89,85,75,86,87,99,80,92,14,26,6,12,10,13,96,97,99,2,1,0,5,9,98,92,38,48,46,9,57,3,3,51,1,11,47,6,45,95,57,59,58,0,0,0,11,37,97,97,0,0,0,45,0,80,96,55,0
Ray Allen,OKC,29.3,Wing,3057,4,31,96,41,50,36,18,95,0,95,0,95,68,85,49,83,85,92,93,31,82,47,48,56,36,47,49,39,42,57,62,43,79,61,55,24,35,67,44,54,21,43,6,7,98,99,100,57,81,53,68,80,73,36,67,37,81,86,85,36,65,15,36,28,95,78,91,90,95,38,15,34,17,94,82,89,97,89,96,92,93,95,96,86,92,70,48,52,80,72,41,71,64,34,68,32,42,38,84,70,58,63,93,95,92,90
Tony Allen,BOS,22.8,Wing,1207,92,97,10,95,71,74,13,32,0,0,0,41,73,13,12,14,89,54,43,36,92,31,96,59,90,94,43,71,85,92,79,82,55,28,23,47,32,87,93,94,36,72,33,50,48,71,65,85,88,75,92,44,91,58,81,44,22,88,96,93,97,53,49,7,29,11,89,24,46,99,53,9,11,10,32,19,91,88,80,97,85,66,74,43,73,49,37,6,63,9,81,0,93,98,54,11,17,25,8,11,68,93,70,62,38,5
Rafer Alston,TOR,28.3,Point,2714,35,63,63,39,83,0,35,21,0,0,0,80,57,65,50,85,63,51,43,92,8,52,69,39,70,86,59,51,72,90,50,72,26,28,70,52,64,16,59,32,46,26,48,32,89,50,71,86,74,84,56,52,61,89,79,85,59,9,48,9,21,11,93,35,33,26,25,28,16,35,84,25,48,5,89,67,76,57,71,82,13,80,60,62,53,63,41,50,48,50,22,63,59,78,41,9,9,41,87,78,57,57,85,67,94,93
Chris Andersen,NOP,26.3,Big,1388,91,3,74,76,72,28,96,46,0,0,0,40,89,79,87,64,92,85,92,20,55,94,85,92,52,55,67,87,33,95,64,52,70,98,54,68,67,59,45,49,48,32,80,69,61,21,33,51,95,27,20,64,22,77,92,66,72,47,68,89,77,88,96,10,73,57,22,83,70,80,8,63,29,68,40,50,95,49,96,86,53,93,95,25,94,89,90,28,43,29,0,0,0,78,15,55,28,0,59,57,89,0,64,64,25,0
Derek Anderson,POR,30.3,Wing,1234,6,38,64,26,24,59,58,54,0,0,0,65,24,90,89,38,48,39,20,64,72,29,59,27,60,78,71,37,79,65,89,74,87,25,90,36,69,10,28,9,74,12,41,17,57,61,60,22,60,15,86,86,76,8,41,7,34,59,20,37,52,28,14,93,21,63,11,71,47,9,86,67,85,27,64,52,27,17,37,36,51,53,28,15,30,32,77,38,3,8,34,74,65,21,40,61,45,58,81,75,6,65,64,74,80,80
Kenny Anderson,ATL,34.1,Point,715,0,70,19,93,91,76,0,19,0,0,0,17,20,15,31,22,42,41,46,71,9,19,43,6,57,87,79,25,70,76,38,46,35,7,53,2,7,94,48,86,7,99,13,74,92,73,85,60,20,45,46,90,17,66,16,59,60,15,15,31,17,62,12,97,52,93,88,50,66,65,65,66,72,59,8,16,13,41,16,41,73,19,11,19,18,33,31,37,69,59,0,0,0,61,80,85,93,46,4,11,35,0,30,35,11,44
