Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,23.3,OKC,Big,156,86,+12.2,61,+0.8,89,+5.1%,63,+8.2,91,+2.3,17,-14.4%,82,+37.9,41,-0.8,25,-4.4%,43,-6.1
LaMarcus Aldridge,31.3,SAS,Big,535,7,-18.2,20,-2.8,33,-0.8%,28,-14.8,19,-1.3,41,-2.1%,54,+5.4,39,-0.8,63,+2.3%,27,-21.6
Al-Farouq Aminu,26.1,POR,Big,111,70,+5.7,9,-4.2,58,+0.6%,4,-41.9,52,+0.2,18,-14.0%,34,-16.7,9,-3.8,60,+2.0%,8,-45.8
Kyle Anderson,23.1,SAS,Wing,150,34,-4.8,44,-0.5,54,+0.5%,33,-11.8,33,-0.6,61,+5.0%,20,-28.6,53,+0.2,50,+0.5%,50,-0.2
Ryan Anderson,28.5,HOU,Big,328,30,-6.0,41,-0.8,25,-1.3%,50,+1.2,63,+0.5,43,-1.8%,58,+6.6,33,-1.1,38,-1.4%,46,-2.4
Giannis Antetokounmpo,21.9,MIL,Forward,242,53,+1.9,78,+2.0,72,+2.3%,61,+6.0,30,-0.9,85,+16.7%,19,-33.3,96,+4.3,84,+6.1%,98,+80.5
Trevor Ariza,31.3,HOU,Forward,412,11,-15.8,56,+0.4,20,-2.7%,58,+4.8,46,-0.1,60,+4.9%,15,-38.9,51,+0.1,15,-6.6%,53,+3.0
Kent Bazemore,27.3,ATL,Wing,149,82,+10.9,22,-2.5,54,+0.5%,7,-30.6,35,-0.5,36,-3.8%,12,-46.0,20,-2.3,45,-0.5%,20,-29.2
Bradley Beal,23.3,WAS,Wing,464,90,+14.0,81,+2.2,75,+2.6%,86,+24.2,77,+1.2,79,+10.6%,55,+5.6,74,+1.6,24,-4.7%,87,+38.0
Patrick Beverley,28.3,HOU,Point,323,57,+2.3,92,+3.2,76,+2.8%,77,+15.6,64,+0.5,57,+3.3%,69,+17.6,80,+2.2,76,+4.8%,60,+10.8
Bojan Bogdanovic,27.5,WAS,Forward,230,23,-9.1,38,-1.1,2,-5.7%,38,-7.6,15,-1.4,11,-19.5%,35,-16.7,46,-0.5,20,-5.2%,41,-10.0
Avery Bradley,25.9,BOS,Combo,604,42,-1.6,4,-5.0,21,-2.4%,9,-29.4,8,-1.9,7,-22.9%,28,-24.2,21,-2.2,58,+1.8%,21,-28.9
Malcolm Brogdon,23.9,MIL,Combo,177,24,-7.7,76,+1.7,59,+0.7%,89,+25.1,72,+0.7,93,+25.8%,74,+24.4,80,+2.2,33,-2.6%,93,+51.1
Jaylen Brown,20.0,BOS,Wing,168,52,+1.5,89,+2.9,57,+0.6%,69,+11.4,81,+1.7,51,+1.5%,72,+20.2,57,+0.4,72,+4.1%,44,-5.7
Jimmy Butler,27.1,CHI,Wing,238,71,+5.7,16,-2.9,91,+5.2%,16,-23.1,98,,100,+67.5%,97,,33,-1.4,51,+0.6%,34,-15.0
Clint Capela,22.5,HOU,Big,285,25,-7.4,62,+0.9,80,+3.8%,39,-7.3,56,+0.3,41,-2.2%,67,+16.0,46,-0.5,92,+10.8%,20,-29.3
DeMarre Carroll,30.3,TOR,Forward,149,47,-0.5,74,+1.5,77,+3.0%,59,+5.7,32,-0.7,89,+18.5%,49,-1.3,84,+2.4,57,+1.5%,72,+19.0
Vince Carter,39.8,MEM,Wing,194,35,-4.5,75,+1.6,48,-0.0%,88,+25.0,96,+4.0,69,+7.1%,95,+127.3,19,-2.4,43,-0.6%,33,-15.8
Ian Clark,25.7,GSW,Combo,174,4,-18.5,20,-2.7,31,-1.0%,30,-13.4,43,-0.1,33,-5.0%,53,+3.5,13,-2.8,29,-3.3%,26,-22.3
Mike Conley,29.1,MEM,Point,222,81,+10.8,97,+6.1,84,+4.1%,100,+50.0,97,+4.5,94,+27.0%,96,+215.4,72,+1.6,55,+1.3%,54,+4.8
Jamal Crawford,36.6,LAC,Wing,162,98,+23.9,94,+4.2,1,-8.5%,93,+32.5,3,-2.5,13,-16.3%,4,-83.3,100,+6.9,1,-17.3%,99,+86.1
Jae Crowder,26.3,BOS,Forward,557,28,-6.3,6,-4.4,53,+0.5%,9,-29.4,6,-2.3,46,-1.0%,17,-38.3,32,-1.5,42,-0.6%,36,-14.3
Stephen Curry,28.6,GSW,Point,598,100,+27.7,83,+2.4,63,+1.4%,73,+13.9,60,+0.4,72,+8.2%,48,-1.4,78,+1.9,73,+4.3%,72,+19.0
DeMar DeRozan,27.2,TOR,Wing,372,51,+1.5,72,+1.4,73,+2.5%,54,+2.9,80,+1.5,42,-1.9%,68,+17.3,49,-0.2,80,+5.2%,37,-14.0
Matthew Dellavedova,26.1,MIL,Point,156,41,-2.3,5,-4.7,12,-3.3%,6,-37.3,31,-0.8,2,-30.2%,42,-8.3,7,-4.1,12,-7.2%,2,-75.3
Boris Diaw,34.5,UTA,Big,184,59,+2.9,43,-0.6,32,-0.8%,50,+1.6,24,-1.3,23,-12.0%,11,-48.0,61,+0.6,27,-3.4%,83,+32.9
Kevin Durant,28.1,GSW,Forward,529,91,+14.5,46,-0.3,46,-0.1%,54,+3.1,65,+0.5,64,+5.4%,63,+14.2,36,-1.0,67,+2.8%,49,-1.0
James Ennis,26.3,MEM,Forward,158,7,-18.3,27,-1.9,41,-0.5%,17,-22.7,15,-1.4,37,-3.3%,21,-28.6,47,-0.4,46,-0.5%,33,-16.5
Derrick Favors,25.3,UTA,Big,194,41,-2.1,10,-3.7,69,+2.0%,7,-33.7,7,-2.0,87,+16.8%,14,-42.9,26,-1.8,66,+2.5%,15,-32.2
Raymond Felton,32.4,LAC,Combo,102,37,-3.8,32,-1.6,0,-8.5%,46,-1.2,17,-1.4,76,+9.3%,16,-38.6,50,-0.0,0,-19.5%,86,+37.1
Channing Frye,33.5,CLE,Big,111,87,+12.7,26,-2.0,16,-2.9%,28,-13.7,39,-0.3,21,-12.5%,81,+32.4,11,-2.8,47,-0.3%,15,-32.3
Marc Gasol,31.8,MEM,Big,238,85,+12.1,55,+0.4,92,+5.7%,3,-43.2,46,-0.0,96,+34.2%,2,-107.7,59,+0.5,93,+12.0%,23,-24.7
Pau Gasol,36.3,SAS,Big,364,77,+8.5,90,+3.1,27,-1.3%,88,+25.0,55,+0.3,72,+7.9%,47,-2.1,88,+2.8,15,-6.6%,91,+45.0
Paul George,26.5,IND,Forward,171,1,-25.0,89,+2.9,3,-5.1%,76,+15.0,98,,98,+46.2%,97,,85,+2.4,2,-15.2%,66,+14.8
Taj Gibson,31.4,OKC,Big,118,97,+18.6,11,-3.1,89,+5.1%,11,-27.6,45,-0.1,83,+14.0%,24,-26.7,8,-3.9,54,+1.2%,7,-49.2
Manu Ginobili,39.3,SAS,Wing,282,46,-0.8,72,+1.4,22,-2.2%,92,+27.6,73,+0.8,29,-10.2%,71,+19.4,59,+0.5,11,-7.3%,81,+28.1
Rudy Gobert,24.4,UTA,Big,231,22,-9.2,69,+1.3,24,-2.0%,65,+9.3,61,+0.4,15,-15.1%,61,+10.6,63,+0.9,30,-3.2%,63,+13.0
Eric Gordon,27.9,HOU,Wing,355,96,+17.8,57,+0.6,37,-0.6%,55,+3.1,41,-0.2,32,-6.9%,59,+8.2,67,+1.2,70,+3.6%,64,+13.3
Marcin Gortat,32.7,WAS,Big,369,89,+13.7,88,+2.7,86,+4.7%,80,+17.2,86,+2.0,67,+7.1%,78,+31.0,71,+1.5,78,+5.0%,73,+20.1
Jerami Grant,22.6,OKC,Forward,106,11,-14.7,34,-1.2,7,-4.4%,40,-7.2,4,-2.4,11,-20.4%,32,-22.2,67,+1.3,91,+10.8%,70,+16.2
Danny Green,29.4,SAS,Wing,434,15,-12.3,28,-1.8,59,+0.8%,15,-24.1,18,-1.4,71,+7.6%,31,-22.6,48,-0.2,63,+2.3%,29,-20.7
Draymond Green,26.7,GSW,Big,590,36,-4.1,2,-5.5,74,+2.6%,11,-28.4,25,-1.1,53,+2.1%,40,-10.6,4,-4.9,50,+0.2%,10,-40.7
Gerald Green,30.8,BOS,Wing,147,54,+2.0,51,+0.2,67,+1.9%,41,-6.2,28,-1.0,58,+4.2%,24,-26.7,75,+1.6,68,+3.0%,55,+6.3
JaMychal Green,26.4,MEM,Big,117,95,+17.6,84,+2.4,40,-0.5%,94,+33.6,33,-0.7,27,-11.3%,50,0.0,90,+3.1,54,+1.1%,93,+52.3
Tim Hardaway Jr.,24.6,ATL,Wing,198,16,-11.4,91,+3.2,83,+4.0%,97,+38.9,80,+1.6,80,+11.6%,94,+108.3,79,+2.1,93,+11.1%,79,+26.7
James Harden,27.2,HOU,Combo,405,8,-17.6,12,-3.1,45,-0.3%,19,-21.5,11,-1.8,31,-9.1%,1,-122.2,24,-1.8,20,-5.3%,41,-11.1
Andrew Harrison,22.0,MEM,Combo,106,39,-2.7,7,-4.3,14,-3.1%,15,-24.8,1,-4.2,8,-21.7%,0,-127.3,50,-0.1,41,-0.9%,68,+15.4
Gordon Hayward,26.6,UTA,Wing,367,17,-10.9,63,+1.0,76,+2.7%,63,+7.7,5,-2.4,59,+4.4%,3,-95.8,94,+3.4,87,+8.4%,100,+109.8
Nene Hilario,34.1,HOU,Big,160,67,+5.3,35,-1.2,15,-3.0%,60,+5.8,38,-0.3,68,+7.1%,39,-10.7,52,+0.2,2,-14.5%,78,+26.1
George Hill,30.5,UTA,Point,246,88,+12.9,63,+1.0,56,+0.6%,72,+12.8,70,+0.7,47,-0.2%,76,+29.0,55,+0.4,62,+2.1%,54,+4.8
